Code_Destination,Pays_Destination,Code_Origine,Pays_Origine,Annee,Montant_Bourses_MUSD,Nombre_Etudiants_Africains
BEL,Belgique,BEN,Bénin,2017,33.159689,5650.0
BEL,Belgique,BEN,Bénin,2018,33.955332999999996,4761.0
BEL,Belgique,BEN,Bénin,2019,29.434282,4857.0
BEL,Belgique,BEN,Bénin,2020,24.628748,6906.0
BEL,Belgique,BEN,Bénin,2021,30.608721,7809.0
BEL,Belgique,BEN,Bénin,2022,31.886419999999998,9538.0
BEL,Belgique,BEN,Bénin,2023,31.424092,9820.0
BEL,Belgique,BEN,Bénin,2024,23.243312,7735.0
BEL,Belgique,BFA,Burkina Faso,2017,19.627244,5650.0
BEL,Belgique,BFA,Burkina Faso,2018,20.348886,4761.0
BEL,Belgique,BFA,Burkina Faso,2019,23.876867,4857.0
BEL,Belgique,BFA,Burkina Faso,2020,49.100331000000004,6906.0
BEL,Belgique,BFA,Burkina Faso,2021,44.108222000000005,7809.0
BEL,Belgique,BFA,Burkina Faso,2022,40.530141,9538.0
BEL,Belgique,BFA,Burkina Faso,2023,33.692547999999995,9820.0
BEL,Belgique,BFA,Burkina Faso,2024,23.868853,7735.0
BEL,Belgique,CIV,Côte d’Ivoire,2017,0.216852,5650.0
BEL,Belgique,CIV,Côte d’Ivoire,2018,0.134623,4761.0
BEL,Belgique,CIV,Côte d’Ivoire,2019,0.918787,4857.0
BEL,Belgique,CIV,Côte d’Ivoire,2020,0.30403800000000003,6906.0
BEL,Belgique,CIV,Côte d’Ivoire,2021,0.377049,7809.0
BEL,Belgique,CIV,Côte d’Ivoire,2022,0.264054,9538.0
BEL,Belgique,CIV,Côte d’Ivoire,2023,0.797563,9820.0
BEL,Belgique,CIV,Côte d’Ivoire,2024,2.041821,7735.0
BEL,Belgique,CMR,Cameroun,2017,5.460416,5650.0
BEL,Belgique,CMR,Cameroun,2018,4.345432,4761.0
BEL,Belgique,CMR,Cameroun,2019,4.481031,4857.0
BEL,Belgique,CMR,Cameroun,2020,3.726085,6906.0
BEL,Belgique,CMR,Cameroun,2021,3.90555,7809.0
BEL,Belgique,CMR,Cameroun,2022,3.316171,9538.0
BEL,Belgique,CMR,Cameroun,2023,3.571314,9820.0
BEL,Belgique,CMR,Cameroun,2024,4.473327,7735.0
BEL,Belgique,COG,Congo,2017,0.018918,5650.0
BEL,Belgique,COG,Congo,2018,0.025545,4761.0
BEL,Belgique,COG,Congo,2019,0.025331,4857.0
BEL,Belgique,COG,Congo,2020,0.310151,6906.0
BEL,Belgique,COG,Congo,2021,0.983059,7809.0
BEL,Belgique,COG,Congo,2022,0.009359,9538.0
BEL,Belgique,COG,Congo,2023,0.908373,9820.0
BEL,Belgique,COG,Congo,2024,0.004651,8363.0
BEL,Belgique,GAB,Gabon,2020,0.120585,6906.0
BEL,Belgique,MAR,Maroc,2017,23.062208,5650.0
BEL,Belgique,MAR,Maroc,2018,18.341895,4761.0
BEL,Belgique,MAR,Maroc,2019,21.924286,4857.0
BEL,Belgique,MAR,Maroc,2020,17.857698000000003,6906.0
BEL,Belgique,MAR,Maroc,2021,22.125920999999998,7809.0
BEL,Belgique,MAR,Maroc,2022,10.914594000000001,9538.0
BEL,Belgique,MAR,Maroc,2023,9.038566000000001,9820.0
BEL,Belgique,MAR,Maroc,2024,12.095145,7735.0
BEL,Belgique,NER,Niger,2017,25.915389,5650.0
BEL,Belgique,NER,Niger,2018,26.386826,4761.0
BEL,Belgique,NER,Niger,2019,24.154074,4857.0
BEL,Belgique,NER,Niger,2020,28.533722,6906.0
BEL,Belgique,NER,Niger,2021,37.212839,7809.0
BEL,Belgique,NER,Niger,2022,29.18442,9538.0
BEL,Belgique,NER,Niger,2023,30.104392,9820.0
BEL,Belgique,NER,Niger,2024,34.001492,7735.0
BEL,Belgique,SEN,Sénégal,2017,20.222369,5650.0
BEL,Belgique,SEN,Sénégal,2018,12.754795,4761.0
BEL,Belgique,SEN,Sénégal,2019,12.480222000000001,4857.0
BEL,Belgique,SEN,Sénégal,2020,15.466439000000001,6906.0
BEL,Belgique,SEN,Sénégal,2021,18.475702000000002,7809.0
BEL,Belgique,SEN,Sénégal,2022,22.235807,9538.0
BEL,Belgique,SEN,Sénégal,2023,25.81393,9820.0
BEL,Belgique,SEN,Sénégal,2024,26.714264,7735.0
BEL,Belgique,TCD,Tchad,2017,0.238844,5650.0
BEL,Belgique,TCD,Tchad,2018,5.008646,4761.0
BEL,Belgique,TCD,Tchad,2019,4.657986,4857.0
BEL,Belgique,TCD,Tchad,2022,0.08138,9538.0
BEL,Belgique,TCD,Tchad,2023,0.115698,9820.0
BEL,Belgique,TCD,Tchad,2024,0.001622,7735.0
BEL,Belgique,TGO,Togo,2017,1.05257,5650.0
BEL,Belgique,TGO,Togo,2018,0.825942,4761.0
BEL,Belgique,TGO,Togo,2019,0.716417,4857.0
BEL,Belgique,TGO,Togo,2020,0.789732,6906.0
BEL,Belgique,TGO,Togo,2021,0.749945,7809.0
BEL,Belgique,TGO,Togo,2022,0.484483,9538.0
BEL,Belgique,TGO,Togo,2023,1.006397,9820.0
BEL,Belgique,TGO,Togo,2024,0.645015,7735.0
BEL,Belgique,TUN,Tunisie,2017,2.3984769999999997,5650.0
BEL,Belgique,TUN,Tunisie,2018,1.098149,4761.0
BEL,Belgique,TUN,Tunisie,2019,1.266788,4857.0
BEL,Belgique,TUN,Tunisie,2020,0.670018,6906.0
BEL,Belgique,TUN,Tunisie,2021,0.642925,7809.0
BEL,Belgique,TUN,Tunisie,2022,0.139509,9538.0
BEL,Belgique,TUN,Tunisie,2023,0.141042,9820.0
BEL,Belgique,TUN,Tunisie,2024,0.506832,9820.0
CAN,Canada,BEN,Bénin,2017,19.492568,22845.0
CAN,Canada,BEN,Bénin,2018,23.876414,24412.494140625
CAN,Canada,BEN,Bénin,2019,22.128545,25848.0
CAN,Canada,BEN,Bénin,2020,27.466451,30069.0
CAN,Canada,BEN,Bénin,2021,20.489142,32157.0
CAN,Canada,BEN,Bénin,2022,19.126679,36564.0
CAN,Canada,BEN,Bénin,2023,18.497641,42825.0
CAN,Canada,BEN,Bénin,2024,24.268884,32835.0
CAN,Canada,BFA,Burkina Faso,2017,47.759394,22845.0
CAN,Canada,BFA,Burkina Faso,2018,62.433978,24412.494140625
